"ID";"NameOfStation";"Line";"Longitude_WGS84";"Latitude_WGS84";"AdmArea";"District";"Year";"Month";"global_id";"geodata_center";"geoarea";
"№ п/п";"Станция метрополитена";"Линия";"Долгота в WGS-84";"Широта в WGS-84";"Административный округ";"Район";"Год";"Месяц";"global_id";"geodata_center";"geoarea";
"2";"Выхино";"Таганско-Краснопресненская линия";"37.81860885";"55.71545536";"Юго-Восточный административный округ";"район Выхино-Жулебино";"2021";"Январь";"1146052530";"";"";
"3";"Щёлковская";"Арбатско-Покровская линия";"37.79874691";"55.80974166";"Восточный административный округ";"район Северное Измайлово";"2021";"Январь";"1146052531";"";"";
"4";"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"37.57755224";"55.56967951";"Юго-Западный административный округ";"район Северное Бутово";"2021";"Январь";"1146052532";"";"";
"5";"Домодедовская";"Замоскворецкая линия";"37.71878552";"55.61087011";"Южный административный округ";"район Орехово-Борисово Южное";"2021";"Январь";"1146052533";"";"";
"6";"Новогиреево";"Калининская линия";"37.81742514";"55.723330";"Восточный административный округ";"район Вешняки";"2021";"Январь";"1146052534";"";"";
"7";"Новокосино";"Калининская линия";"37.86427956";"55.74511606";"Восточный административный округ";"район Новокосино";"2021";"Январь";"1146052535";"";"";
"8";"Царицыно";"Замоскворецкая линия";"37.66917139";"55.62167819";"Южный административный округ";"район Царицыно";"2021";"Январь";"1146052536";"";"";
"9";"Текстильщики";"Таганско-Краснопресненская линия";"37.73242901";"55.70881677";"Юго-Восточный административный округ";"район Текстильщики";"2021";"Январь";"1146052537";"";"";
"10";"Тушинская";"Таганско-Краснопресненская линия";"37.43716386";"55.82642440";"Северо-Западный административный округ";"район Покровское-Стрешнево";"2021";"Январь";"1146052538";"";"";
"2";"Выхино";"Таганско-Краснопресненская линия";"37.81860885";"55.71545536";"Юго-Восточный административный округ";"район Выхино-Жулебино";"2021";"Февраль";"1146052540";"";"";
"3";"Щёлковская";"Арбатско-Покровская линия";"37.79874691";"55.80974166";"Восточный административный округ";"район Северное Измайлово";"2021";"Февраль";"1146052541";"";"";
"4";"Новогиреево";"Калининская линия";"37.81742514";"55.723330";"Восточный административный округ";"район Вешняки";"2021";"Февраль";"1146052542";"";"";
"5";"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"37.57755224";"55.56967951";"Юго-Западный административный округ";"район Северное Бутово";"2021";"Февраль";"1146052543";"";"";
"6";"Новокосино";"Калининская линия";"37.86427956";"55.74511606";"Восточный административный округ";"район Новокосино";"2021";"Февраль";"1146052544";"";"";
"7";"Царицыно";"Замоскворецкая линия";"37.66917139";"55.62167819";"Южный административный округ";"район Царицыно";"2021";"Февраль";"1146052545";"";"";
"8";"Домодедовская";"Замоскворецкая линия";"37.71878552";"55.61087011";"Южный административный округ";"район Орехово-Борисово Южное";"2021";"Февраль";"1146052546";"";"";
"9";"Текстильщики";"Таганско-Краснопресненская линия";"37.73242901";"55.70881677";"Юго-Восточный административный округ";"район Текстильщики";"2021";"Февраль";"1146052547";"";"";
"10";"Кузьминки";"Таганско-Краснопресненская линия";"37.76640443";"55.70549000";"Юго-Восточный административный округ";"район Кузьминки";"2021";"Февраль";"1146052548";"";"";
"2";"Выхино";"Таганско-Краснопресненская линия";"37.81860885";"55.71545536";"Юго-Восточный административный округ";"район Выхино-Жулебино";"2021";"Март";"1146052550";"";"";
"3";"Щёлковская";"Арбатско-Покровская линия";"37.79874691";"55.80974166";"Восточный административный округ";"район Северное Измайлово";"2021";"Март";"1146052551";"";"";
"4";"Домодедовская";"Замоскворецкая линия";"37.71878552";"55.61087011";"Южный административный округ";"район Орехово-Борисово Южное";"2021";"Март";"1146052552";"";"";
